id,title,parts,n_parts,date
63a2f02d88994341e27ec7eb,SPRING WEB MVC,"['Sending Data From Controller to UI a) Model b) ModelAndView', '@RequestBody annotation , @ResponseBody annotation']",2,22-July-2023
63a2f02d8899432ac97ec7ee,SPRING WEB MVC,"['Introduction to Spring MVC Form Tag library', 'Form Based application development using Spring Boot']",2,23-July-2023
63a2f02d88994310d17ec7f1,SPRING WEB MVC,"['Thymeleaf Introduction', 'Web Application with Thymeleaf']",2,24-July-2023
63a2f02d889943789b7ec7f4,SPRING WEB MVC,"['Sending Email using Spring Boot', 'Exception Handling in Spring Boot Web Application']",2,25-July-2023
63a2f02d889943877d7ec7f7,SPRING WEB MVC,"['Spring Boot Actuators', 'a) Health b) Info c) Heapdump d) Theaddump', 'e) Beans f) Httptrace g) Mappings h) Shutdown etc']",3,26-July-2023
63a2f02d889943a28c7ec7fb,SPRING WEB MVC,"['Unit Testing for Spring Boot Application using Junit with Mocking', 'Code Coverage using Jacocco']",2,27-July-2023
63a2f02d889943f4907ec7fe,SPRING REST,"['Distributed Applications', 'Distributed Technologies', 'SOAP vs REST', 'RESTful Services Introduction', 'REST principles']",5,30-July-2023
63a2f02d889943e9fc7ec804,SPRING REST,"['One Time operations', 'Run Time Operations a) Marshalling b) Un Marshalling']",2,31-July-2023
63a2f02d889943990c7ec807,SPRING REST,"['JAX-B Introduction JAX-B Architecture', 'Applications development with JAX-B']",2,01-Aug-2023
63a2f02d88994301da7ec80a,SPRING REST,"['JSON Introduction', 'XML vs JSON', 'JACKSON API', 'Converting Java object to JSON and vice versa using Jackson API']",4,02-Aug-2023
63a2f02d88994390027ec80f,SPRING REST,"['GSON API', 'Converting Java Object to JSON and Vice Versa using GSON API', 'HTTP Protocol Details', 'HTTP Methods a) GET b) POST c) PUT d) DELETE', 'HTTP Status Codes']",5,03-Aug-2023
63a2f02d889943adb67ec815,SPRING REST,"['@RestController', '@RequestBody', '@ResponseBody', '@RequestParam', '@PathVariable', 'MediaTypes', 'Consumes, Produces', 'Accept Header, Content-Type head']",8,04-Aug-2023
63a2f02d88994375ac7ec81e,SPRING REST,"['REST API Development using Spring Boot', 'POSTMAN']",2,05-Aug-2023
63a2f02d889943ba3b7ec821,SPRING REST,"['SWAGGER & SWAGGER UI', 'Exception Handling in REST API']",2,06-Aug-2023
63a2f02d88994314937ec824,SPRING REST,"['REST Security', 'a) HTTP Basic Auth', 'b) JWT', 'c) OAuth2.0']",4,07-Aug-2023
63a2f02d889943cbcd7ec829,SPRING REST,"['Mono Objects', 'Flux Objects', 'REST Client Introduction', 'RestTemplate', 'WebClient', 'RestTemplate vs WebClient']",6,08-Aug-2023
63a2f02d8899430f457ec830,SPRING REST,"['Reactive Programming', 'Synchronous vs Asynchronous Calls']",2,09-Aug-2023
63a2f02d88994347567ec833,SPRING REST,"['Apache Kafka Integration with Spring Boot', 'Redis Cache Integration with Spring Boot']",2,10-Aug-2023
63a2f02d8899436f267ec836,MICRO SERVICES,"['Monolith Architecture case study', 'Monolith Application Deployment Process', 'Load balancer (Cluster) case study', 'Load Balancing Algorithms', 'a) Round Robin b) IP Hashing c) Sticky Session', 'Monolith Architecture Drawbacks']",6,11-Aug-2023
63a2f02d88994352897ec83d,MICRO SERVICES,"['Micro services Introduction', 'Micro Services Advantages', 'Micro Services Dis-Advantages', 'Micro Services case study', 'Identifying Micro services boundaries', 'Micro services Architecture']",6,12-Aug-2023
63a2f02d8899430b9f7ec844,MICRO SERVICES,"['Micro services Development', 'a) API – 1', 'b) API – 2', 'Interservice communication casestudy', 'FeignClient']",5,13-Aug-2023
63a2f02d8899430f607ec84a,MICRO SERVICES,"['Cloud Introduction', 'a) AWS', 'b) AZURE', 'Auto Scaling']",4,14-Aug-2023
63a2f02d889943cbc07ec84f,MICRO SERVICES,"['Service Registry case study (NetflixEureka)', 'Gateway API (Zuul proxy)', 'Hystrix (Circuit Breaker)', 'Hystrix Dashboard']",4,15-Aug-2023
63a2f02d8899439b387ec854,MICRO SERVICES,"['Spring Boot Admin Server', 'Spring Boot Admin Client']",2,16-Aug-2023
63a2f02d889943f5cf7ec857,MICRO SERVICES,"['Distributed Logging', 'a) Sleuth Logging', 'b) Zipkin Server']",3,17-Aug-2023
63a2f02d88994315467ec85b,MICRO SERVICES,"['Ribbon case study (Microservices load balancer)', 'Implementing Ribbon in Microservices', 'ConfigServer Introduction &Implementation']",3,18-Aug-2023
