id,title,parts,n_parts,date
63a2eb428899435a827eb2af,Support Vector Machines,"['Best Metric Selection', 'Svm Regression', 'In-Depth Mathematical Intuition', 'In-Depth Geometrical Intuition', 'Complete End-To-End Project With Deployment']",5,8-April-2023
63a2eb42889943b2ec7eb2b5,Naïve Bayes,"['Bayes Theorem', 'Multinomial Naïve Bayes', 'Gaussian Naïve Bayes', 'Various Type Of Bayes Theorem And Its Intuition']",4,9-April-2023
63a2eb42889943468d7eb2ba,Naïve Bayes,"['Confusion Matrix', 'Precision, Recall, F1 Score, Roc, Auc', 'Best Metric Selection', 'Complete End-To-End Project With Deployment']",4,10-April-2023
63a2eb428899434d437eb2bf,Ensemble Techniques And Its Types,"['Definition Of Ensemble Techniques', 'Bagging Technique', 'Bootstrap Aggregation']",3,11-April-2023
63a2eb428899439c627eb2c3,Ensemble Techniques And Its Types,['Random Forest (Bagging Technique)'],1,12-April-2023
63a2eb4288994357a37eb2c5,Ensemble Techniques And Its Types,['Random Forest Repressor'],1,13-April-2023
63a2eb4288994309307eb2c7,Ensemble Techniques And Its Types,['Random Forest Classifier'],1,14-April-2023
63a2eb42889943db767eb2c9,Ensemble Techniques And Its Types,['Complete End-To-End Project With Deployment'],1,15-April-2023
63a2eb42889943fccc7eb2cb,Boosting,"['Boosting Technique', 'Ada Boost']",2,16-April-2023
63a2eb42889943aa8a7eb2ce,Boosting,['Gradient Boost'],1,17-April-2023
63a2eb42889943ec207eb2d0,Boosting,['Xgboost'],1,18-April-2023
63a2eb42889943a3957eb2d2,Boosting,['Complete End-To-End Project With Deployment'],1,19-April-2023
63a2eb4288994302957eb2d4,KNN,['Knn Classifier'],1,20-April-2023
63a2eb428899436d757eb2d6,KNN,['Knn Repressor'],1,21-April-2023
63a2eb428899434cb47eb2d8,KNN,"['Variants Of Knn', 'Brute Force Knn', 'K-Dimension Tree', 'Ball Tree', 'Complete End-To-End Project With Deployment']",5,22-April-2023
63a2eb42889943a8a07eb2de,Dimensionality Reduction,"['The Curse Of Dimensionality', 'Dimensionality Reduction Technique']",2,23-April-2023
63a2eb42889943318e7eb2e1,Dimensionality Reduction,"['PCA (Principle Component Analysis)', 'Mathematics Behind PCA', 'Scree Plots']",3,24-April-2023
63a2eb4288994369517eb2e5,Dimensionality Reduction,['Eigen-Decomposition Approach'],1,25-April-2023
63a2eb42889943fe037eb2e7,Dimensionality Reduction,['Practicals'],1,26-April-2023
63a2eb42889943200c7eb2e9,Clustering,"['Clustering And Their Types', 'K-Means Clustering', 'K-Means++', 'Batch K-Means']",4,27-April-2023
63a2eb42889943f8567eb2ee,Clustering,['Hierarchical Clustering'],1,28-April-2023
63a2eb4288994370407eb2f0,Clustering,['Dbscan'],1,29-April-2023
63a2eb4288994384467eb2f2,Clustering,"['Evaluation Of Clustering', 'Homogeneity, Completeness, And V-Measure', 'Silhouette Coefficient', 'Davies-Bouldin Index']",4,30-April-2023
63a2eb42889943e99f7eb2f7,Clustering,"['Contingency Matrix', 'Pair Confusion Matrix', 'Extrinsic Measure', 'Intrinsic Measure', 'Complete End-To-End Project With Deployment']",5,1-May-2023
63a2eb42889943acdb7eb2fd,Anomaly Detection,"['Anomaly Detection Types', 'Anomaly Detection Applications', 'Isolation Forest Anomaly Detection Algorithm', 'Density-Based Anomaly Detection (Local Outlier Factor) Algorithm']",4,2-May-2023
63a2eb42889943524d7eb302,Anomaly Detection,"['Support Vector Machine Anomaly Detection Algorithm', 'Dbscan Algorithm For Anomaly Detection', 'Complete End-To-End Project With Deployment']",3,3-May-2023
63a2eb4288994305ed7eb306,Time Series,"['What Is A Time Series?', 'Old Techniques', 'Arima', 'Acf And Pacf']",4,4-May-2023
63a2eb428899433bc17eb30b,Time Series,"['Time-Dependent Seasonal Components.', 'Autoregressive (Ar),', 'Moving Average (Ma) And Mixed Arma- Modeler.']",3,5-May-2023
63a2eb42889943f37b7eb30f,Neural Network A Simple Perception,"['Neural Network Overview And Its Use Case.', 'Detail Mathematical Explanation', 'Various Neural Network Architect Overview.', 'Use Case Of Neural Network In Nlp And Computer Vision.']",4,16-May-2023
63a2eb42889943461e7eb314,Neural Network A Simple Perception,['Activation Function -All Name'],1,17-May-2023
63a2eb4288994356ee7eb316,Neural Network A Simple Perception,['Multilayer Network.'],1,18-May-2023
63a2eb42889943fc5b7eb318,Neural Network A Simple Perception,['Loss Functions. - All 10'],1,19-May-2023
63a2eb4288994316697eb31a,Neural Network A Simple Perception,['The Learning Mechanism.'],1,20-May-2023
63a2eb428899436d1d7eb31c,Neural Network A Simple Perception,['Optimizers. - All 10'],1,21-May-2023
63a2eb4288994316577eb31e,Neural Network A Simple Perception,['Forward And Backward Propagation.'],1,22-May-2023
63a2eb4288994315b07eb320,Neural Network A Simple Perception,['Weight Initialization Technique'],1,23-May-2023
63a2eb42889943babb7eb322,Neural Network A Simple Perception,"['Vanishing Gradient Problem', 'Exploding Gradient Problem', 'Visualization Of Neural Network']",3,24-May-2023
63a2eb4288994364447eb326,Tensorflow Installation Environment Setup For Deep Learning,"['Colab Pro Setup', 'TensorFlow Installation 2.0 .', 'TensorFlow 2.0 Function.']",3,25-May-2023
63a2eb42889943c8c07eb32a,Tensorflow Installation Environment Setup For Deep Learning,['TensorFlow 2.0 Neural Network Creation.'],1,26-May-2023
63a2eb42889943354d7eb32c,Tensorflow Network Building & Tracking,['Mini Project In TensorFlow.'],1,26-May-2023
63a2eb428899435a817eb32e,Tensorflow Network Building & Tracking,"['Tensor space', 'Tensor board Integration', 'TensorFlow Playground', 'Netron']",4,27-May-2023
63a2eb4288994339f87eb333,Pytorch Fundamentals,"['Pytorch Installation.', 'Pytorch Functional Overview.']",2,28-May-2023
63a2eb428899433f977eb336,Pytorch Fundamentals,['Pytorch Neural Network Creation.'],1,29-May-2023
63a2eb428899430b9e7eb338,Convolution Neural Networks,['Cnn Fundamentals'],1,30-May-2023
63a2eb428899433aa17eb33a,Convolution Neural Networks,"['Cnn Explained In Detail - Cnnexplainer, Tensor space']",1,31-May-2023
63a2eb428899431d187eb33c,Convolution Neural Networks,['Various Cnn Based Architecture'],1,1-Jun-2023
63a2eb42889943a75c7eb33e,Convolution Neural Networks,['Training Cnn From Scratch'],1,2-Jun-2023
63a2eb4288994319037eb340,Convolution Neural Networks,['Building Webapps For Cnn'],1,3-Jun-2023
63a2eb4288994396497eb342,Convolution Neural Networks,"['Deployment In Aws, Azure & Google Cloud']",1,4-Jun-2023
63a2eb4288994307b57eb344,Image Classification Architectures,"['Various Cnn Architecture With Research Paper And Mathematics', 'Lenet-5 Variants With Research Paper And Practical']",2,5-Jun-2023
63a2eb42889943c8d27eb347,Image Classification Architectures,['Alexnet Variants With Research Paper And Practical'],1,6-Jun-2023
63a2eb4288994315e57eb349,Image Classification Architectures,['Googlenet Variants With Research Paper And Practical'],1,7-Jun-2023
63a2eb42889943009f7eb34b,Image Classification Architectures,['Transfer Learning'],1,8-Jun-2023
63a2eb428899436dc97eb34d,Image Classification Architectures,['Vggnet Variants With Research Paper And Practical'],1,9-Jun-2023
63a2eb428899433c507eb34f,Image Classification Architectures,['Resnet Variants With Research Paper And Practical'],1,10-Jun-2023
63a2eb428899430d927eb351,Image Classification Architectures,['Inception Net Variants With Research Paper And Practical'],1,11-Jun-2023
63a2eb428899437ee57eb353,Object Detection Architectures RCNN Family,['FASTER RCNN'],1,12-Jun-2023
63a2eb42889943c1177eb355,Object Detection Architectures RCNN Family,['YOLO'],1,13-Jun-2023
63a2eb428899435c327eb357,Yolo V5 Custom Training,"['Introduction To Yolov5', 'Installation Of Yolov5', 'Data Annotation & Preparation', 'Download Data & Configure Path']",4,14-Jun-2023
63a2eb4288994332497eb35c,Yolo V5 Custom Training,"['Download & Configure Pretrained Weight', 'Start Model Training', 'Evaluation Curves Yolov5', 'Inferencing Using Trained Model']",4,15-Jun-2023
63a2eb4288994374767eb361,Yolo V6 Custom Training,"['Introduction To Yolov6', 'Installation Of Yolov6', 'Data Annotation & Preparation', 'Download Data & Configure Path']",4,16-Jun-2023
63a2eb42889943649d7eb366,Yolo V6 Custom Training,"['Download & Configure Pretrained Weight', 'Start Model Training', 'Evaluation Curves Yolov6', 'Inferencing Using Trained Model']",4,17-Jun-2023
63a2eb4288994377957eb36b,Yolo V7 Custom Training,"['Introduction To Yolov7', 'Installation Of Yolov7', 'Data Annotation & Preparation', 'Download Data & Configure Path']",4,18-Jun-2023
63a2eb428899431ee47eb370,Yolo V7 Custom Training,"['Download & Configure Pretrained Weight', 'Start Model Training', 'Evaluation Curves Yolov7', 'Inferencing Using Trained Model']",4,19-Jun-2023
63a2eb42889943f8637eb375,Detecron2 Custom Training,"['Introduction To Detecron2', 'Installation Of Detecron2', 'Data Annotation & Preparation', 'Download Data & Configure Path']",4,20-Jun-2023
63a2eb428899434b3f7eb37a,Detecron2 Custom Training,"['Download & Configure Pretrained Weight', 'Start Model Training', 'Evaluation Curves Detecron2', 'Inferencing Using Trained Model']",4,21-Jun-2023
63a2eb42889943c0c87eb37f,TFOD2 Custom Training,"['Introduction To TFOD2', 'Installation Of TFOD2', 'Data Annotation & Preparation', 'Download Data & Configure Path']",4,22-Jun-2023
63a2eb428899432b3c7eb384,TFOD2 Custom Training,"['Download & Configure Pretrained Weight', 'Start Model Training', 'Evaluation Curves TFOD2', 'Inferencing Using Trained Model']",4,23-Jun-2023
